Name,Links,Cost,Cuisines,Timings,Open_Hours,Open_Days
Sardarji's Chaats & More,https://www.zomato.com/hyderabad/sardarjis-chaats-more-gachibowli,400,"['StreetFood', 'NorthIndian', 'FastFood']","12 PM to 3:30 PM, 7 PM to 10:30 PM","12 PM to 3:30 PM, 7 PM to 10:30 PM",
Barbeque Nation,https://www.zomato.com/hyderabad/barbeque-nation-gachibowli,1600,"['Mediterranean', 'NorthIndian', 'Kebab', 'BBQ']","12 PM to 3:30 PM, 6:30 PM to 11:30 PM","12 PM to 3:30 PM, 6:30 PM to 11:30 PM",
Absolute Sizzlers,https://www.zomato.com/hyderabad/absolute-sizzlers-gachibowli,750,"['Continental', 'American', 'Chinese']",11:30 AM to 1 AM,11:30 AM to 1 AM,
The Lal Street - Bar Exchange,https://www.zomato.com/hyderabad/the-lal-street-bar-exchange-gachibowli,1300,"['NorthIndian', 'Italian', 'FingerFood']",12PM to 12AM (Mon-Sun),12PM to 12AM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
AB's - Absolute Barbecues,https://www.zomato.com/hyderabad/abs-absolute-barbecues-gachibowli,1500,"['European', 'Mediterranean', 'NorthIndian']","12 PM to 4:30 PM, 6:30 PM to 11:30 PM","12 PM to 4:30 PM, 6:30 PM to 11:30 PM",
KFC,https://www.zomato.com/hyderabad/kfc-gachibowli,500,"['Burger', 'FastFood']",11 AM to 11 PM,11 AM to 11 PM,
NorFest - The Dhaba,https://www.zomato.com/hyderabad/norfest-the-dhaba-gachibowli,550,['NorthIndian'],12 PM to 10:30 PM,12 PM to 10:30 PM,
Hotel Zara Hi-Fi,https://www.zomato.com/hyderabad/hotel-zara-gachibowli,400,"['Chinese', 'NorthIndian']",11:30 AM to 1 AM,11:30 AM to 1 AM,
10 Downing Street,https://www.zomato.com/hyderabad/10-downing-street-gachibowli,1900,"['NorthIndian', 'Chinese', 'Continental']",12 PM to 12 AM,12 PM to 12 AM,
Pakwaan Grand,https://www.zomato.com/hyderabad/pakwaan-grand-gachibowli,400,"['NorthIndian', 'Chinese', 'Biryani']",12 PM to 11 PM,12 PM to 11 PM,
13 Dhaba,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,450,['NorthIndian'],"12:30 PM to 10 PM (Tue-Sun), Mon Closed",12:30 PM to 10 PM,"Tue, Wed, Thu, Fri, Sat, Sun"
Jonathan's Kitchen - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/jonathans-kitchen-holiday-inn-express-suites-gachibowli,1900,"['NorthIndian', 'Japanese', 'Italian', 'Salad', 'Sushi']","11:30 AM to 3 PM, 7 PM to 11 PM","11:30 AM to 3 PM, 7 PM to 11 PM",
B-Dubs,https://www.zomato.com/hyderabad/b-dubs-gachibowli,1600,['American'],"11AM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 11AM to 12AM (Fri-Sat)",11AM to 11:30PM. 11AM to 12AM,"Mon, Tue, Wed, Thu, Sun. Fri, Sat"
Amul,https://www.zomato.com/hyderabad/amul-gachibowli,150,"['IceCream', 'Desserts']",10 AM to 5 AM,10 AM to 5 AM,
SKYHY,https://www.zomato.com/hyderabad/skyhy-gachibowli,1400,"['NorthIndian', 'Chinese', 'Continental']","12 PM to 12 AM (Mon-Thu, Sun), 12 PM to 1 AM (Fri-Sat)",12 PM to 12 AM. 12 PM to 1 AM,"Mon, Tue, Wed, Thu, Sun. Fri, Sat"
Tiki Shack,https://www.zomato.com/hyderabad/tiki-shack-gachibowli,1000,['Continental'],"12PM to 11PM (Mon-Thu),12PM to 11:30PM (Fri-Sun)",12PM to 11PM. 12PM to 11:30PM,"Mon, Tue, Wed, Thu. Fri, Sat, Sun"
Mustang Terrace Lounge,https://www.zomato.com/hyderabad/mustang-terrace-lounge-gachibowli,1300,"['Mexican', 'Italian', 'NorthIndian', 'Chinese', 'Salad']","12 PM to 11:30 PM (Mon-Wed), 12 PM to 1 AM (Fri-Sat), 12 PM to 12 AM (Sun), Thu Closed",12 PM to 11:30 PM. 12 PM to 1 AM. 12 PM to 12 AM,"Mon, Tue, Wed. Fri, Sat. Sun"
"3B's - Buddies, Bar & Barbecue",https://www.zomato.com/hyderabad/3bs-buddies-bar-barbecue-gachibowli,1100,"['NorthIndian', 'Mediterranean', 'European']","12 PM to 4 PM, 6:30 PM to 11:30 PM","12 PM to 4 PM, 6:30 PM to 11:30 PM",
Behrouz Biryani,https://www.zomato.com/hyderabad/behrouz-biryani-gachibowli,600,"['Mughlai', 'Biryani']",10 AM to 1 AM,10 AM to 1 AM,
Hunger Maggi Point,https://www.zomato.com/hyderabad/hunger-maggi-point-gachibowli,200,['FastFood'],4:30 PM to 5:30 AM,4:30 PM to 5:30 AM,
